Timestamp,Score,Choose your profession,Gender,Age group,Raju enjoys coming up with new ideas and likes doing things in his own way,Raju wants to be rich. Having money and nice things matter to him,Raju believes everyone in the world should be treated equally. Equal chances matter to him,Raju likes to show what he can do. He wants others to admire his work,"Raju wants to feel safe in his daily life, he avoids anything risky",Raju likes surprises and wants to do many different things in life,Raju believes people should follow rules even when no one is watching,This question is to ensure that you are reading the questionnaire. Please click on a little like me.,"Raju likes to listen to people who are different from him. Even if the other person disagrees, he wants to understand others.",Raju likes to be humble. He doesn't try to standout.,"Having good times matter to him, and likes to enjoy himself.",Raju likes to make his own choices and wants to be free to plain his own life.,Raju loves helping the people around them. He cares about others well-being.,Being very successful matters to this person. He hopes others will notice his achievements.,Raju wants the government to keep him safe. A strong country matters to him.,"Raju looks for adventure, enjoys taking risks and having an exciting life.",Raju always tries to behave properly. He doesn't want to do anything that others would call wrong.,Raju wants to be respected by others. He likes it when people do what he says.,This question is to ensure that you are reading the questionnaire. Please select Like me.,Raju is loyal to his friends. He gives time and care to the people close to him.,Raju cares about nature and protects the environment.,Tradition matters a lot to Raju. He follows the customs from his family or religion.,Raju looks for chances to have fun. He likes doing things that feel good.,Please pick only one,Please pick only one,Please pick only one,Please pick only one,Please pick only one,Please pick only one,I always admit it when I make a mistake.,I always do what I tell others to do.,I never feel upset when someone asks me to return a favour.,I have never felt annoyed when someone disagreed with me.,I have never said anything to hurt another person's feelings.,Sometimes I enjoy gossiping.,I have sometimes taken advantage of someone.,Sometimes I want to get back at someone instead of forgiving them.,Sometimes I really insist on having things my own way.,Sometimes I feel like breaking something.,"A neighborhood association has a limited budget to allocate for the coming year. The funds can be used to support a food pantry serving the wider city or to maintain neighborhood watch patrols that benefit only local residents. You are asked to vote on which initiative should receive the available resources.
","A local community center receives a grant to support either a new after-school program for children or to upgrade security systems for the facility. Both options are supported by different groups within the community. Some community members advocating for each project are from neighborhoods with different backgrounds and interests. You are asked to recommend which project should receive the funding, knowing that only one can be chosen this year.
","A hospital department is piloting a new patient care protocol that departs from long-standing routines. Staff are invited to choose whether to implement the new protocol in their unit or maintain the established procedures. You are responsible for making this decision for your team.
","Your workplace is considering adopting a new digital workflow system that promises greater flexibility and efficiency. Some employees are enthusiastic about the change, while others prefer the established paper-based process. You have not used a digital workflow before and are unsure how quickly you will adapt. Management asks whether you will transition to the new system or continue with the traditional approach during the pilot phase.
","A professional association is awarding a prestigious honor. The selection committee can choose to highlight a member's leadership in advancing the field or the member's efforts to foster collaboration and support among peers. You are asked to cast your vote for the award's focus.
","Your project team has completed a successful collaboration, and management will recognize either the team as a whole or a single member who made the most measurable contributions. Management has stated a preference for recognizing measurable results. You are asked to recommend whether the recognition should go to the group or the individual.
","A community group is organizing a festival. You can volunteer to help with the event, which would be enjoyable and engaging, or you can assist with routine maintenance tasks that are necessary for the group's ongoing activities. Both roles are open to you.
","You have a weekend free from work and must decide whether to attend a social event with friends or fulfill a family obligation at home. Other family members can help with the obligation if you choose the event. Both options are equally feasible, and your decision will affect your relationships and personal satisfaction.
","A family business is planning for succession. You can recommend a family member who has consistently maintained the business's core values or a younger relative who proposes new strategies for growth. Both candidates are qualified, and your recommendation will influence the decision.
","A long-serving leader of a nonprofit is retiring, and the board must choose between promoting an internal candidate who upholds established practices or hiring an external candidate with a record of ambitious innovation. The organization has limited resources to support a transition. You are asked to vote for the next leader.
"
5/21/2026 19:24:13,,Medical personnel,Female,18-25,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Somewhat like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,I follow traditions I grew up with,I would like to have new experiences and adventures,I want to be known as successful in my field,I want to have power and influence over others,I enjoy life and have fun,I am humble and I don't seek attention,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,support the citywide food pantry,fund the after-school program,implement the new care protocol,transition to the new digital workflow,vote to honor leadership in advancement,recognize the entire team,volunteer for the festival event,attend the social event with friends,recommend the younger relative proposing new strategies,promote the internal candidate
5/21/2026 19:27:42,,Medical personnel,Female,18-25,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Somewhat like me,Like me,Like me,Like me,Like me,Like me,Like me,I follow traditions I grew up with,I want to feel safe in my daily life,"I help people close to me, even if no one notices",I want to have power and influence over others,I enjoy life and have fun,I am humble and I don't seek attention,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,support the citywide food pantry,fund the after-school program,maintain established procedures,transition to the new digital workflow,vote to honor collaboration and support,recognize the top individual contributor,assist with routine maintenance tasks,attend the social event with friends,recommend the younger relative proposing new strategies,hire the external candidate
5/21/2026 19:27:57,,Medical personnel,Female,18-25,Like me,Like me,Like me,Like me,Like me,Like me,A little like me,A little like me,Like me,A little like me,Like me,Like me,Like me,A little like me,Like me,A little like me,Like me,Not like me,Like me,Like me,Somewhat like me,Somewhat like me,Like me,I follow traditions I grew up with,I want to feel safe in my daily life,"I help people close to me, even if no one notices",I work for fairness and equal rights for everyone,I behave properly and meet what others expect,I am humble and I don't seek attention,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,support the citywide food pantry,upgrade the facility's security systems,implement the new care protocol,transition to the new digital workflow,vote to honor leadership in advancement,recognize the entire team,volunteer for the festival event,attend the social event with friends,recommend the younger relative proposing new strategies,promote the internal candidate
5/21/2026 19:27:59,,Medical personnel,Female,18-25,Not like me,A little like me,Somewhat like me,Very much like me,Like me,Like me,Like me,Like me,Like me,Like me,Somewhat like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,A little like me,Somewhat like me,I follow traditions I grew up with,I want to feel safe in my daily life,"I help people close to me, even if no one notices",I work for fairness and equal rights for everyone,I behave properly and meet what others expect,I am humble and I don't seek attention,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,support the citywide food pantry,fund the after-school program,implement the new care protocol,continue with the paper-based process,vote to honor collaboration and support,recognize the top individual contributor,volunteer for the festival event,fulfill the family obligation at home,recommend the family member upholding core values,hire the external candidate
5/21/2026 19:31:01,,CS Grad,Male,18-25,Somewhat like me,Very much like me,Like me,A little like me,A little like me,Like me,Like me,Very much like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,Like me,I follow traditions I grew up with,I would like to have new experiences and adventures,I want to be known as successful in my field,I work for fairness and equal rights for everyone,I behave properly and meet what others expect,I am humble and I don't seek attention,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,support the citywide food pantry,fund the after-school program,maintain established procedures,transition to the new digital workflow,vote to honor leadership in advancement,recognize the entire team,volunteer for the festival event,fulfill the family obligation at home,recommend the family member upholding core values,promote the internal candidate
5/21/2026 19:33:04,,Engineering ,Female,18-25,Like me,A little like me,Like me,Not like me,Like me,Not like me,Like me,A little like me,Like me,Like me,Like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Not like me,Somewhat like me,Somewhat like me,Like me,Like me,Like me,A little like me,Somewhat like me,"I choose my own path, even if is goes against traditions sometimes",I want to feel safe in my daily life,I want to be known as successful in my field,I work for fairness and equal rights for everyone,I behave properly and meet what others expect,I am humble and I don't seek attention,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,maintain neighborhood watch patrols,fund the after-school program,implement the new care protocol,transition to the new digital workflow,vote to honor collaboration and support,recognize the entire team,volunteer for the festival event,attend the social event with friends,recommend the younger relative proposing new strategies,promote the internal candidate
5/21/2026 19:34:34,,Software Engineer ,Male,35-45,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Very much like me,Somewhat like me,A little like me,Not like me,A little like me,Not like me,A little like me,Somewhat like me,Like me,A little like me,Not like me,Not like me,Not like me,Not like me,Not like me,A little like me,Somewhat like me,A little like me,I follow traditions I grew up with,I want to feel safe in my daily life,I want to be known as successful in my field,I want to have power and influence over others,I behave properly and meet what others expect,I am humble and I don't seek attention,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,maintain neighborhood watch patrols,upgrade the facility's security systems,implement the new care protocol,transition to the new digital workflow,vote to honor leadership in advancement,recognize the top individual contributor,volunteer for the festival event,fulfill the family obligation at home,recommend the younger relative proposing new strategies,promote the internal candidate
5/21/2026 19:38:06,,Software engineer,Female,35-45,Somewhat like me,A little like me,Very much like me,Somewhat like me,Not like me,Very much like me,Somewhat like me,A little like me,Somewhat like me,Somewhat like me,Not like me,Very much like me,Somewhat like me,Somewhat like me,Like me,Like me,Not like me,Not like me,Like me,Very much like me,Somewhat like me,Like me,Like me,I follow traditions I grew up with,I would like to have new experiences and adventures,I want to be known as successful in my field,I work for fairness and equal rights for everyone,I enjoy life and have fun,I am humble and I don't seek attention,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,maintain neighborhood watch patrols,fund the after-school program,maintain established procedures,transition to the new digital workflow,vote to honor leadership in advancement,recognize the entire team,volunteer for the festival event,fulfill the family obligation at home,recommend the younger relative proposing new strategies,promote the internal candidate
5/21/2026 19:38:34,,Medical personnel,Female,18-25,Like me,Like me,Like me,Not like me,A little like me,Like me,Like me,A little like me,A little like me,Somewhat like me,Like me,Like me,Like me,Not like me,Somewhat like me,A little like me,Like me,Somewhat like me,Like me,Like me,Like me,Very much like me,Like me,I follow traditions I grew up with,I would like to have new experiences and adventures,I want to be known as successful in my field,I work for fairness and equal rights for everyone,I enjoy life and have fun,I am humble and I don't seek attention,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,maintain neighborhood watch patrols,upgrade the facility's security systems,maintain established procedures,transition to the new digital workflow,vote to honor collaboration and support,recognize the entire team,volunteer for the festival event,fulfill the family obligation at home,recommend the family member upholding core values,promote the internal candidate
5/21/2026 19:51:20,,Medical personnel,Male,25-35,A little like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,A little like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,A little like me,A little like me,Like me,Like me,Like me,Like me,Like me,Like me,Somewhat like me,Like me,Somewhat like me,Somewhat like me,Somewhat like me,I follow traditions I grew up with,I want to feel safe in my daily life,I want to be known as successful in my field,I work for fairness and equal rights for everyone,I behave properly and meet what others expect,I am humble and I don't seek attention,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,support the citywide food pantry,fund the after-school program,implement the new care protocol,transition to the new digital workflow,vote to honor leadership in advancement,recognize the entire team,volunteer for the festival event,attend the social event with friends,recommend the family member upholding core values,promote the internal candidate
