participant_id,form,profession,gender,age_group,binary_profile,active_values_count,matched_vsw_id,excluded,exclusion_reason,ac1_pass,ac2_pass,sds_score,Self-Direction,Stimulation,Hedonism,Achievement,Power,Security,Conformity,Tradition,Benevolence,Universalism
P_F1_001,F1,CS Grad,Female,18-25,0011010011,5,,0,,1,1,3,0,0,1,1,0,1,0,0,1,1
P_F1_002,F1,CS Grad,Male,18-25,0011001011,5,,0,,1,1,4,0,0,1,1,0,0,1,0,1,1
P_F1_003,F1,CS Grad,Male,18-25,0001000001,2,,0,,1,1,6,0,0,0,1,0,0,0,0,0,1
P_F1_004,F1,CS Grad,Male,18-25,0010100110,4,,0,,1,1,6,0,0,1,0,1,0,0,1,1,0
P_F1_005,F1,CS Grad,Male,18-25,1111110000,6,,0,,1,1,1,1,1,1,1,1,1,0,0,0,0
P_F1_006,F1,CS Grad,Male,18-25,1111000111,7,,0,,1,1,5,1,1,1,1,0,0,0,1,1,1
P_F1_007,F1,CS Grad,Male,18-25,0111101010,6,VSW_0490,0,,1,1,6,0,1,1,1,1,0,1,0,1,0
P_F1_008,F1,CS Grad,Female,18-25,1001110011,6,,0,,1,1,1,1,0,0,1,1,1,0,0,1,1
P_F1_009,F1,CS Grad,Male,25-35,0011111010,6,VSW_0250,0,,1,1,2,0,0,1,1,1,1,1,0,1,0
P_F1_010,F1,CS Grad,Male,18-25,0011001001,4,,0,,1,1,2,0,0,1,1,0,0,1,0,0,1
P_F1_011,F1,CS Grad,Male,25-35,0100001101,4,,0,,1,1,4,0,1,0,0,0,0,1,1,0,1
P_F1_012,F1,CS Grad,Female,18-25,0110100010,4,,0,,1,1,2,0,1,1,0,1,0,0,0,1,0
P_F1_013,F1,CS Grad,Male,18-25,1101111011,8,,0,,1,1,3,1,1,0,1,1,1,1,0,1,1
P_F1_014,F1,CS Grad,Female,18-25,1101111011,8,,0,,1,1,3,1,1,0,1,1,1,1,0,1,1
P_F1_015,F1,CS Grad,Male,18-25,0011110011,6,,0,,1,1,6,0,0,1,1,1,1,0,0,1,1
P_F1_016,F1,CS Grad,Male,18-25,0011011011,6,,0,,1,1,4,0,0,1,1,0,1,1,0,1,1
P_F1_017,F1,Industry professional,Male,18-25,0011100011,5,,0,,1,1,5,0,0,1,1,1,0,0,0,1,1
P_F1_018,F1,CS Grad,Male,18-25,0000101101,4,,0,failed_ac2,1,0,7,0,0,0,0,1,0,1,1,0,1
P_F2_001,F2,Medical personnel,Female,18-25,1111111110,9,,0,"failed_ac1,high_sds",0,1,9,1,1,1,1,1,1,1,1,1,0
P_F2_002,F2,Medical personnel,Female,18-25,1111110111,9,VSW_1015,0,"failed_ac1,high_sds",0,1,9,1,1,1,1,1,1,0,1,1,1
P_F2_003,F2,Medical personnel,Female,18-25,1010010011,5,,0,high_sds,1,1,8,1,0,1,0,0,1,0,0,1,1
P_F2_004,F2,Medical personnel,Female,18-25,0101011011,6,,0,failed_ac1,0,1,5,0,1,0,1,0,1,1,0,1,1
P_F2_005,F2,CS Grad,Male,18-25,0110101111,7,,0,failed_ac1,0,1,7,0,1,1,0,1,0,1,1,1,1
P_F2_006,F2,Engineering ,Female,18-25,1010011011,6,,0,,1,1,5,1,0,1,0,0,1,1,0,1,1
P_F2_007,F2,Software Engineer ,Male,35-45,1101010100,5,VSW_0852,0,"failed_ac2,high_sds",1,0,8,1,1,0,1,0,1,0,1,0,0
P_F2_008,F2,Software engineer,Female,35-45,1100000111,5,VSW_0775,0,,1,1,5,1,1,0,0,0,0,0,1,1,1
P_F2_009,F2,Medical personnel,Female,18-25,1010101110,6,,0,high_sds,1,1,8,1,0,1,0,1,0,1,1,1,0
P_F2_010,F2,Medical personnel,Male,25-35,0001111010,5,,0,"failed_ac1,failed_ac2",0,0,5,0,0,0,1,1,1,1,0,1,0
P_F2_011,F2,CS Grad,Female,18-25,1000100011,4,,0,,1,1,4,1,0,0,0,1,0,0,0,1,1
P_F2_012,F2,Medical personnel,Female,18-25,0000110111,5,,0,,1,1,5,0,0,0,0,1,1,0,1,1,1
P_F2_013,F2,Industry professional,Male,18-25,0011001011,5,,0,,1,1,1,0,0,1,1,0,0,1,0,1,1
