scenario_id,axis,n_baseline,n_modified,p_A1_baseline,p_A1_modified,delta_signed,delta_abs
SC003_1,authority_signal,18,32,0.1111111111111111,0.28125,0.1701388888888889,0.1701388888888889
SC003_2,authority_signal,32,18,0.53125,0.7222222222222222,0.1909722222222222,0.1909722222222222
SC002_1,competence_uncertainty,18,32,0.05555555555555555,0.15625,0.10069444444444445,0.10069444444444445
SC004_1,diffused_responsibility,18,32,0.6666666666666666,0.6875,0.02083333333333337,0.02083333333333337
SC001_1,in_out_group,18,32,0.5555555555555556,0.34375,-0.21180555555555558,0.21180555555555558
SC005_1,resource_scarcity,18,32,0.4444444444444444,0.28125,-0.16319444444444442,0.16319444444444442
SC001_2,self_preservation,32,18,0.5,0.5,0.0,0.0
SC004_2,self_preservation,32,18,0.1875,0.3888888888888889,0.2013888888888889,0.2013888888888889
SC002_2,social_visibility,32,18,0.34375,0.2777777777777778,-0.06597222222222221,0.06597222222222221
SC005_2,time_pressure,32,18,0.5,0.3888888888888889,-0.1111111111111111,0.1111111111111111
