term,estimate,se,z,p,odds_ratio,or_lower,or_upper
Intercept,0.21124165678656637,0.0730365747567857,2.892272227853077,0.0038246639228862295,1.2352108160739217,1.0704616138596148,1.42531571463346
centered_self_direction,0.19017170250117332,0.08949976770033558,2.1248290066842292,0.033600883508573876,1.2094572466641287,1.0148615079436463,1.4413659598464166
centered_power,0.1974193482609699,0.07988467532427752,2.4713043829693424,0.013462118021953498,1.2182548066386027,1.0416910316444599,1.4247456576016808
centered_universalism,0.28496524847955207,0.11177406381917322,2.5494756005343557,0.01078850600463405,1.329715817672109,1.068107171547035,1.6553995730657292
centered_achievement,0.17570354678042163,0.11228766962523132,1.5647626081015453,0.11763858225274448,1.1920846089422752,0.9565901107690166,1.4855534244804622
centered_security,0.2508443695323269,0.11821781703495576,2.1218829430605615,0.033847569148110816,1.285110066486505,1.0193217428708463,1.620202742201492
centered_stimulation,0.08679827076674644,0.11635805847977626,0.7459583968722932,0.45569254702725037,1.0906766361628744,0.8682604742008196,1.3700675776661309
centered_conformity,0.1343722839253485,0.09403548396217382,1.428952968215704,0.15301775175040294,1.1438185656560405,0.9512891020925435,1.375313675160935
centered_tradition,0.19660086725025724,0.09560427220888487,2.0564025300114817,0.03974373263968455,1.2172580961631005,1.0092590963808943,1.468123773159847
centered_benevolence,0.12198583428911108,0.10370782561157664,1.1762452213200594,0.23949689858331746,1.129738098123689,0.9219341268510152,1.3843810888219588
