term,estimate,se,z,p,odds_ratio,or_lower,or_upper
Intercept,-0.07470884302372818,0.10844998220969553,-0.6888783336015074,0.49089983508204404,0.9280136446441188,0.7503085116583539,1.147806950426553
centered_self_direction,0.16939405552714654,0.10516273353664903,1.6107802624597336,0.1072276245281382,1.1845868399565396,0.9639412769975545,1.4557380360025605
centered_power,0.0039537426585884465,0.11611171497137852,0.03405119508882495,0.972836326570093,1.0039615690101544,0.7996147588896015,1.2605305502977735
centered_universalism,0.04710981586825787,0.17191508834003474,0.2740295591453747,0.7840619058788942,1.048237115828281,0.7483804874486814,1.4682385089247012
centered_achievement,0.04448611769752308,0.14288477202302546,0.3113426089265431,0.7555401785097569,1.0454904627948711,0.7901219048668358,1.3833945130014498
centered_security,0.1627092692166552,0.14514335348946134,1.1210245960623288,0.2622773929693031,1.176694538628981,0.8853504677369227,1.5639117927824944
centered_stimulation,-0.007203571121912742,0.14725907302642943,-0.04891767260153726,0.9609849050227376,0.9928223124079674,0.7439128751838239,1.3250155722490138
centered_conformity,0.20227119616952074,0.14508552840349706,1.394151424992469,0.16327188283137917,1.2241799560126987,0.9211831159721023,1.6268389408351225
centered_tradition,0.07322544719221988,0.15268738088976747,0.4795775968223918,0.6315277796142711,1.0759730846836655,0.7976847423093419,1.45134790420088
centered_benevolence,0.11893243988774346,0.15388346856770632,0.7728734021576531,0.4395973072080511,1.1262938231807569,0.8330353851840538,1.5227897862404138
is_modified,0.5989734430092157,0.1868040018307425,3.2064272560495124,0.0013439427979069177,1.820249251361422,1.2621764844901404,2.6250745262618613
centered_self_direction:is_modified,0.05452146740653327,0.20795642497276873,0.26217736438618183,0.7931847037764773,1.0560351465061935,0.7025258189189338,1.5874295301665549
centered_power:is_modified,0.41389136045141434,0.20209103687546315,2.048044123334729,0.040555676178225294,1.512692779696519,1.0179521653519075,2.247885041783799
centered_universalism:is_modified,0.5166284820295203,0.3007108912903855,1.718023846135427,0.08579226583042836,1.6763662124326821,0.9298194375103992,3.022311176576653
centered_achievement:is_modified,0.28627344908580654,0.21609875760063257,1.3247343587919294,0.18525927300221057,1.3314564910376625,0.8717260076909911,2.033639437031386
centered_security:is_modified,0.19722882602558064,0.28586348184186183,0.6899406134522863,0.49023153413497167,1.2180227241187105,0.6955421967323746,2.132982532820226
centered_stimulation:is_modified,0.19736301105087212,0.2187606564680922,0.9021869573684467,0.3669575620380823,1.2181861754948702,0.7934157850684614,1.8703655587577839
centered_conformity:is_modified,-0.13965845836040183,0.2478419395951414,-0.5634980850639681,0.5730957636878102,0.869655208147315,0.5350320325427181,1.413560562838572
centered_tradition:is_modified,0.26556950632875004,0.24977714854176883,1.0632257909868017,0.2876795690350853,1.3041734993840408,0.7993201662233527,2.127893913313759
centered_benevolence:is_modified,0.010242008961413822,0.24241137457703066,0.04225052961844097,0.9662989816852446,1.0102946378569457,0.6282077939172013,1.6247733077584616
