participant_id,form_version,scenario_id,is_modified,axis,modifier_id,choice,confidence
P_F1_19156,F1,SC001_1,0,,,0,4
P_F1_19156,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,2
P_F1_19156,F1,SC002_1,0,,,1,5
P_F1_19156,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,4
P_F1_19156,F1,SC003_1,0,,,1,5
P_F1_19156,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,2
P_F1_19156,F1,SC004_1,0,,,0,4
P_F1_19156,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,4
P_F1_19156,F1,SC005_1,0,,,0,5
P_F1_19156,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,2
P_F1_97641,F1,SC001_1,0,,,1,5
P_F1_97641,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,5
P_F1_97641,F1,SC002_1,0,,,1,2
P_F1_97641,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,0,5
P_F1_97641,F1,SC003_1,0,,,1,4
P_F1_97641,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,2
P_F1_97641,F1,SC004_1,0,,,1,3
P_F1_97641,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,4
P_F1_97641,F1,SC005_1,0,,,0,2
P_F1_97641,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,5
P_F1_23393,F1,SC001_1,0,,,0,4
P_F1_23393,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,4
P_F1_23393,F1,SC002_1,0,,,1,2
P_F1_23393,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,3
P_F1_23393,F1,SC003_1,0,,,1,5
P_F1_23393,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,2
P_F1_23393,F1,SC004_1,0,,,0,4
P_F1_23393,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,2
P_F1_23393,F1,SC005_1,0,,,0,2
P_F1_23393,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,3
P_F1_32282,F1,SC001_1,0,,,0,3
P_F1_32282,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,3
P_F1_32282,F1,SC002_1,0,,,1,5
P_F1_32282,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,0,2
P_F1_32282,F1,SC003_1,0,,,0,4
