participant_id,form_version,domain,age_band,gender,years_experience,pvq_a1,pvq_a2,pvq_a3,pvq_a4,pvq_a5,pvq_a6,pvq_a7,pvq_a8,pvq_a9,pvq_a10,pvq_a11,pvq_a12,pvq_a13,pvq_a14,pvq_a15,pvq_a16,pvq_a17,pvq_a18,pvq_a19,pvq_a20,pvq_a21,sds_c1,sds_c2,sds_c3,sds_c4,sds_c5,sds_c6,sds_c7,sds_c8,sds_c9,sds_c10,sds_score,attn_1,attn_2,duration_seconds
P_F1_19156,F1,CS,35-44,na,4-7,3,5,4,3,3,3,4,3,4,4,3,5,4,3,3,4,3,4,4,4,4,True,True,True,True,False,False,True,False,False,False,8,pass,pass,820
P_F1_97641,F1,software,18-24,na,8+,4,4,3,4,3,2,5,4,2,5,4,3,3,3,3,6,2,3,4,3,4,True,False,True,False,True,False,False,True,True,False,6,pass,pass,838
P_F1_23393,F1,medical,25-34,other,8+,4,3,2,4,4,5,5,3,3,2,4,3,4,5,5,4,5,3,3,4,3,False,False,True,True,True,True,False,False,True,True,5,pass,pass,714
P_F1_32282,F1,CS,25-34,F,<1,3,4,3,2,4,1,2,3,4,3,3,5,3,3,2,3,5,6,4,5,3,False,True,True,False,True,True,True,True,True,False,4,pass,pass,749
P_F1_79898,F1,software,35-44,other,<1,2,3,4,2,3,3,3,3,4,3,2,3,1,3,4,2,3,3,4,2,2,True,False,False,True,False,False,True,False,True,True,4,pass,pass,540
P_F1_34031,F1,medical,45+,M,8+,4,2,3,1,3,4,2,2,4,4,4,4,2,2,5,3,2,3,3,4,4,False,True,False,True,True,False,False,False,True,True,6,pass,pass,918
P_F1_14515,F1,CS,25-34,M,1-3,3,2,4,4,3,4,3,4,4,3,2,5,4,4,4,3,3,5,3,4,3,True,True,False,True,True,False,False,True,True,False,7,pass,pass,401
P_F1_99613,F1,software,35-44,other,1-3,3,4,3,5,4,5,4,3,3,4,3,3,5,4,5,5,4,2,2,4,5,True,True,True,True,False,True,True,False,True,True,5,pass,pass,707
P_F1_57278,F1,medical,45+,F,4-7,5,3,5,2,5,3,3,5,5,3,3,6,3,4,4,3,2,6,5,4,5,False,True,False,True,False,True,False,False,False,False,6,pass,pass,990
P_F1_26498,F1,CS,18-24,F,1-3,4,2,3,3,4,4,3,3,3,6,5,2,4,3,3,2,3,3,4,4,6,True,False,True,True,False,False,True,True,True,True,4,pass,pass,591
P_F1_17249,F1,software,25-34,na,<1,5,4,2,5,4,6,4,3,4,4,4,3,6,5,5,3,4,4,2,4,4,True,False,True,True,True,False,False,True,False,False,8,pass,pass,888
P_F1_58852,F1,medical,45+,na,1-3,3,3,4,4,2,5,4,5,2,4,3,5,4,2,6,4,3,5,4,2,4,True,True,True,True,False,False,False,False,False,False,9,pass,pass,352
P_F1_27423,F1,CS,25-34,M,4-7,3,5,3,3,4,2,2,5,5,4,3,5,4,3,3,1,5,4,4,5,4,False,False,False,True,False,True,True,True,False,False,3,pass,pass,706
P_F1_21947,F1,software,25-34,M,<1,3,4,4,6,3,3,5,4,5,3,5,2,5,2,3,5,5,2,4,4,4,False,True,True,True,False,False,True,True,True,False,5,pass,pass,889
P_F1_25431,F1,medical,25-34,M,<1,3,4,4,4,3,3,2,4,2,4,3,5,6,4,3,2,4,4,4,2,4,False,True,False,True,True,True,False,True,False,True,5,pass,pass,812
P_F1_44647,F1,CS,18-24,F,8+,4,3,3,4,3,4,2,2,6,6,3,2,4,2,5,3,2,3,3,5,5,True,True,False,True,True,False,False,False,False,False,9,pass,pass,644
P_F1_94620,F1,software,35-44,F,<1,4,4,4,2,3,4,5,5,4,3,5,2,2,2,4,6,3,3,4,3,3,False,False,False,False,False,True,True,True,False,True,1,pass,pass,533
P_F1_13475,F1,medical,18-24,other,8+,2,5,4,3,3,3,6,5,3,2,4,5,3,3,2,5,4,4,4,2,3,False,False,False,True,False,True,True,False,False,False,4,fail,pass,848
P_F1_17073,F1,CS,45+,F,<1,3,5,2,3,4,4,3,4,3,5,3,5,3,3,4,4,6,5,2,2,3,True,False,True,False,True,False,False,True,False,False,7,pass,pass,557
P_F1_35615,F1,software,35-44,other,<1,2,3,3,3,4,3,6,3,3,5,4,4,4,3,2,6,2,4,3,2,5,False,False,True,True,False,True,True,True,True,True,2,pass,pass,196
P_F1_58485,F1,medical,35-44,na,8+,4,5,5,3,4,4,2,4,4,3,5,2,3,5,4,2,5,2,5,4,3,True,False,True,True,True,True,True,True,False,False,6,pass,pass,151
P_F1_92989,F1,CS,45+,F,8+,2,2,5,3,5,5,4,5,3,6,3,4,2,6,3,4,3,5,6,2,5,True,True,False,False,True,False,False,True,False,False,7,pass,pass,567
P_F1_54736,F1,software,45+,F,<1,3,3,2,3,3,4,2,1,3,5,3,5,4,5,5,3,3,4,2,4,4,True,True,False,True,True,False,False,False,True,False,8,pass,pass,543
