participant_id,form,timestamp,profession,gender,age_group,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,ac1_pass,ac2_pass,sds_score,raw_achievement,raw_benevolence,raw_conformity,raw_hedonism,raw_power,raw_security,raw_self_direction,raw_stimulation,raw_tradition,raw_universalism,grand_mean,centered_achievement,centered_benevolence,centered_conformity,centered_hedonism,centered_power,centered_security,centered_self_direction,centered_stimulation,centered_tradition,centered_universalism,binary_achievement,binary_benevolence,binary_conformity,binary_hedonism,binary_power,binary_security,binary_self_direction,binary_stimulation,binary_tradition,binary_universalism
P_F1_001,F1,5/21/2026 19:09:59,CS Grad,Female,18-25,3,5,6,5,5,4,2,6,4,5,3,4,4,5,4,5,2,6,4,4,6,1,1,3,4.5,5.0,3.5,5.5,3.5,5.0,3.0,4.0,4.0,5.333333333333333,4.380952380952381,0.11904761904761862,0.6190476190476186,-0.8809523809523814,1.1190476190476186,-0.8809523809523814,0.6190476190476186,-1.3809523809523814,-0.3809523809523814,-0.3809523809523814,0.9523809523809517,1,1,0,1,0,1,0,0,0,1
P_F1_002,F1,5/21/2026 19:23:13,CS Grad,Male,18-25,3,5,6,5,3,4,4,6,4,4,3,4,4,4,4,5,2,6,5,4,5,1,1,4,4.5,5.0,4.5,4.5,3.5,3.5,3.0,4.0,4.0,5.666666666666667,4.285714285714286,0.2142857142857144,0.7142857142857144,0.2142857142857144,0.2142857142857144,-0.7857142857142856,-0.7857142857142856,-1.2857142857142856,-0.2857142857142856,-0.2857142857142856,1.3809523809523814,1,1,1,1,0,0,0,0,0,1
P_F1_003,F1,5/21/2026 20:08:04,CS Grad,Male,18-25,4,6,6,5,3,4,4,6,4,4,5,4,6,4,4,5,3,5,5,4,5,1,1,6,5.5,4.5,4.5,4.5,4.5,3.5,4.5,4.0,4.0,5.666666666666667,4.571428571428571,0.9285714285714288,-0.07142857142857117,-0.07142857142857117,-0.07142857142857117,-0.07142857142857117,-1.0714285714285712,-0.07142857142857117,-0.5714285714285712,-0.5714285714285712,1.0952380952380958,1,0,0,0,0,0,0,0,0,1
P_F1_004,F1,5/21/2026 21:11:53,CS Grad,Male,18-25,3,2,3,1,2,4,1,3,5,3,3,3,4,4,3,6,6,6,3,5,5,1,1,6,2.5,4.5,3.5,4.0,4.0,3.0,3.0,3.5,5.0,3.0,3.5714285714285716,-1.0714285714285716,0.9285714285714284,-0.07142857142857162,0.4285714285714284,0.4285714285714284,-0.5714285714285716,-0.5714285714285716,-0.07142857142857162,1.4285714285714284,-0.5714285714285716,0,1,0,1,1,0,0,0,1,0
P_F1_005,F1,5/21/2026 23:07:59,CS Grad,Male,18-25,4,6,1,4,6,3,1,6,1,6,6,2,6,3,6,4,5,6,2,4,6,1,1,1,5.0,4.0,2.5,6.0,5.5,4.5,5.0,4.5,2.5,3.0,4.190476190476191,0.8095238095238093,-0.1904761904761907,-1.6904761904761907,1.8095238095238093,1.3095238095238093,0.3095238095238093,0.8095238095238093,0.3095238095238093,-1.6904761904761907,-1.1904761904761907,1,0,0,1,1,1,1,1,0,0
P_F1_006,F1,5/21/2026 23:08:55,CS Grad,Male,18-25,6,3,5,4,2,6,1,6,3,5,5,4,6,5,5,2,2,6,3,6,6,1,1,5,5.0,5.0,1.5,5.5,2.5,3.5,5.5,5.5,4.5,4.666666666666667,4.333333333333333,0.666666666666667,0.666666666666667,-2.833333333333333,1.166666666666667,-1.833333333333333,-0.833333333333333,1.166666666666667,1.166666666666667,0.16666666666666696,0.3333333333333339,1,1,0,1,0,0,1,1,1,1
P_F1_007,F1,5/21/2026 23:15:03,CS Grad,Male,18-25,3,5,3,5,4,6,4,5,3,4,2,6,5,2,4,5,5,6,4,3,5,1,1,6,5.0,6.0,4.5,4.5,5.0,3.0,2.5,5.0,3.0,4.0,4.238095238095238,0.7619047619047619,1.7619047619047619,0.26190476190476186,0.26190476190476186,0.7619047619047619,-1.2380952380952381,-1.7380952380952381,0.7619047619047619,-1.2380952380952381,-0.23809523809523814,1,1,1,1,1,0,0,1,0,0
P_F1_008,F1,5/21/2026 23:17:18,CS Grad,Female,18-25,4,6,6,5,5,3,2,5,2,3,4,4,4,5,1,3,3,5,3,3,4,1,1,1,4.5,4.5,2.5,3.5,4.5,5.0,4.0,2.0,2.5,4.666666666666667,3.8095238095238093,0.6904761904761907,0.6904761904761907,-1.3095238095238093,-0.3095238095238093,0.6904761904761907,1.1904761904761907,0.1904761904761907,-1.8095238095238093,-1.3095238095238093,0.8571428571428577,1,1,0,0,1,1,1,0,0,1
P_F1_009,F1,5/21/2026 23:23:27,CS Grad,Male,25-35,4,6,5,6,5,5,5,4,5,6,4,6,6,6,5,6,6,5,6,3,6,1,1,2,6.0,5.5,5.5,6.0,6.0,5.5,4.0,5.0,4.0,5.0,5.238095238095238,0.7619047619047619,0.26190476190476186,0.26190476190476186,0.7619047619047619,0.7619047619047619,0.26190476190476186,-1.2380952380952381,-0.23809523809523814,-1.2380952380952381,-0.23809523809523814,1,1,1,1,1,1,0,0,0,0
P_F1_010,F1,5/21/2026 23:31:26,CS Grad,Male,18-25,2,3,5,4,2,5,5,4,5,5,5,5,6,6,2,4,3,3,6,2,4,1,1,2,5.0,4.0,4.5,4.5,3.0,4.0,3.5,3.5,3.5,5.0,4.095238095238095,0.9047619047619051,-0.0952380952380949,0.4047619047619051,0.4047619047619051,-1.095238095238095,-0.0952380952380949,-0.5952380952380949,-0.5952380952380949,-0.5952380952380949,0.9047619047619051,1,0,1,1,0,0,0,0,0,1
