participant_id,modifier_id,flip
P_F1_19156,MOD_SC001_2_01,0
P_F1_19156,MOD_SC002_2_02,0
P_F1_19156,MOD_SC003_2_03,0
P_F1_19156,MOD_SC004_2_04,1
P_F1_19156,MOD_SC005_2_05,1
P_F1_97641,MOD_SC001_2_01,0
P_F1_97641,MOD_SC002_2_02,1
P_F1_97641,MOD_SC003_2_03,0
P_F1_97641,MOD_SC004_2_04,0
P_F1_97641,MOD_SC005_2_05,0
P_F1_23393,MOD_SC001_2_01,0
P_F1_23393,MOD_SC002_2_02,0
P_F1_23393,MOD_SC003_2_03,0
P_F1_23393,MOD_SC004_2_04,0
P_F1_23393,MOD_SC005_2_05,0
P_F1_32282,MOD_SC001_2_01,1
P_F1_32282,MOD_SC002_2_02,1
P_F1_32282,MOD_SC003_2_03,0
P_F1_32282,MOD_SC004_2_04,0
P_F1_32282,MOD_SC005_2_05,0
P_F1_79898,MOD_SC001_2_01,1
P_F1_79898,MOD_SC002_2_02,0
P_F1_79898,MOD_SC003_2_03,0
P_F1_79898,MOD_SC004_2_04,1
P_F1_79898,MOD_SC005_2_05,0
P_F1_34031,MOD_SC001_2_01,0
P_F1_34031,MOD_SC002_2_02,1
P_F1_34031,MOD_SC003_2_03,1
P_F1_34031,MOD_SC004_2_04,0
P_F1_34031,MOD_SC005_2_05,1
P_F1_14515,MOD_SC001_2_01,0
P_F1_14515,MOD_SC002_2_02,0
P_F1_14515,MOD_SC003_2_03,1
P_F1_14515,MOD_SC004_2_04,0
P_F1_14515,MOD_SC005_2_05,1
P_F1_99613,MOD_SC001_2_01,0
P_F1_99613,MOD_SC002_2_02,0
P_F1_99613,MOD_SC003_2_03,0
P_F1_99613,MOD_SC004_2_04,0
P_F1_99613,MOD_SC005_2_05,0
P_F1_57278,MOD_SC001_2_01,1
P_F1_57278,MOD_SC002_2_02,0
P_F1_57278,MOD_SC003_2_03,1
P_F1_57278,MOD_SC004_2_04,0
P_F1_57278,MOD_SC005_2_05,0
P_F1_26498,MOD_SC001_2_01,1
P_F1_26498,MOD_SC002_2_02,0
P_F1_26498,MOD_SC003_2_03,1
P_F1_26498,MOD_SC004_2_04,0
P_F1_26498,MOD_SC005_2_05,1
P_F1_17249,MOD_SC001_2_01,1
P_F1_17249,MOD_SC002_2_02,0
P_F1_17249,MOD_SC003_2_03,0
P_F1_17249,MOD_SC004_2_04,1
P_F1_17249,MOD_SC005_2_05,0
P_F1_58852,MOD_SC001_2_01,1
P_F1_58852,MOD_SC002_2_02,1
P_F1_58852,MOD_SC003_2_03,1
P_F1_58852,MOD_SC004_2_04,1
P_F1_58852,MOD_SC005_2_05,0
P_F1_27423,MOD_SC001_2_01,1
P_F1_27423,MOD_SC002_2_02,1
P_F1_27423,MOD_SC003_2_03,0
P_F1_27423,MOD_SC004_2_04,0
P_F1_27423,MOD_SC005_2_05,1
P_F1_21947,MOD_SC001_2_01,0
P_F1_21947,MOD_SC002_2_02,1
P_F1_21947,MOD_SC003_2_03,1
P_F1_21947,MOD_SC004_2_04,0
P_F1_21947,MOD_SC005_2_05,0
P_F1_25431,MOD_SC001_2_01,1
P_F1_25431,MOD_SC002_2_02,1
P_F1_25431,MOD_SC003_2_03,1
P_F1_25431,MOD_SC004_2_04,1
P_F1_25431,MOD_SC005_2_05,0
P_F1_44647,MOD_SC001_2_01,0
P_F1_44647,MOD_SC002_2_02,1
P_F1_44647,MOD_SC003_2_03,1
P_F1_44647,MOD_SC004_2_04,0
P_F1_44647,MOD_SC005_2_05,1
P_F1_94620,MOD_SC001_2_01,1
P_F1_94620,MOD_SC002_2_02,1
P_F1_94620,MOD_SC003_2_03,0
P_F1_94620,MOD_SC004_2_04,1
P_F1_94620,MOD_SC005_2_05,1
P_F1_13475,MOD_SC001_2_01,1
P_F1_13475,MOD_SC002_2_02,0
P_F1_13475,MOD_SC003_2_03,0
P_F1_13475,MOD_SC004_2_04,0
P_F1_13475,MOD_SC005_2_05,1
P_F1_17073,MOD_SC001_2_01,1
P_F1_17073,MOD_SC002_2_02,1
P_F1_17073,MOD_SC003_2_03,1
P_F1_17073,MOD_SC004_2_04,0
P_F1_17073,MOD_SC005_2_05,1
P_F1_35615,MOD_SC001_2_01,0
P_F1_35615,MOD_SC002_2_02,1
P_F1_35615,MOD_SC003_2_03,1
P_F1_35615,MOD_SC004_2_04,1
P_F1_35615,MOD_SC005_2_05,1
P_F1_58485,MOD_SC001_2_01,1
P_F1_58485,MOD_SC002_2_02,0
P_F1_58485,MOD_SC003_2_03,1
P_F1_58485,MOD_SC004_2_04,1
P_F1_58485,MOD_SC005_2_05,0
P_F1_92989,MOD_SC001_2_01,1
P_F1_92989,MOD_SC002_2_02,1
P_F1_92989,MOD_SC003_2_03,0
P_F1_92989,MOD_SC004_2_04,0
P_F1_92989,MOD_SC005_2_05,1
P_F1_54736,MOD_SC001_2_01,0
P_F1_54736,MOD_SC002_2_02,1
P_F1_54736,MOD_SC003_2_03,1
P_F1_54736,MOD_SC004_2_04,0
P_F1_54736,MOD_SC005_2_05,1
P_F1_96428,MOD_SC001_2_01,0
P_F1_96428,MOD_SC002_2_02,1
P_F1_96428,MOD_SC003_2_03,0
P_F1_96428,MOD_SC004_2_04,1
P_F1_96428,MOD_SC005_2_05,0
P_F1_50448,MOD_SC001_2_01,1
P_F1_50448,MOD_SC002_2_02,1
P_F1_50448,MOD_SC003_2_03,0
P_F1_50448,MOD_SC004_2_04,0
P_F1_50448,MOD_SC005_2_05,0
P_F1_89578,MOD_SC001_2_01,1
P_F1_89578,MOD_SC002_2_02,0
P_F1_89578,MOD_SC003_2_03,1
P_F1_89578,MOD_SC004_2_04,0
P_F1_89578,MOD_SC005_2_05,0
P_F1_11653,MOD_SC001_2_01,1
P_F1_11653,MOD_SC002_2_02,1
P_F1_11653,MOD_SC003_2_03,0
P_F1_11653,MOD_SC004_2_04,1
P_F1_11653,MOD_SC005_2_05,0
P_F1_15314,MOD_SC001_2_01,1
P_F1_15314,MOD_SC002_2_02,1
P_F1_15314,MOD_SC003_2_03,0
P_F1_15314,MOD_SC004_2_04,0
P_F1_15314,MOD_SC005_2_05,0
P_F1_22644,MOD_SC001_2_01,1
P_F1_22644,MOD_SC002_2_02,1
P_F1_22644,MOD_SC003_2_03,1
P_F1_22644,MOD_SC004_2_04,0
P_F1_22644,MOD_SC005_2_05,1
P_F1_14689,MOD_SC001_2_01,0
