participant_id,theme_id,scenario_id,axis,modifier_text,mapped_modifier,method,score
P_F1_19156,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_19156,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_19156,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_19156,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_19156,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_97641,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_97641,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_97641,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_97641,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_97641,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_23393,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_23393,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_23393,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_23393,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_23393,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_32282,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_32282,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_32282,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_32282,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_32282,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_79898,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_79898,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_79898,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_79898,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_79898,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
