participant_id,model,kappa,n_modifiers
P_F1_19156,dotProduct,0.000,5
P_F1_19156,gemma4,0.000,5
P_F1_19156,llama_8B,0.000,5
P_F1_97641,dotProduct,0.000,5
P_F1_97641,gemma4,0.000,5
P_F1_97641,llama_8B,0.000,5
P_F1_23393,dotProduct,0.000,5
P_F1_23393,gemma4,0.000,5
P_F1_23393,llama_8B,0.000,5
P_F1_32282,dotProduct,0.000,5
P_F1_32282,gemma4,0.000,5
P_F1_32282,llama_8B,0.000,5
P_F1_79898,dotProduct,0.000,5
P_F1_79898,gemma4,0.000,5
P_F1_79898,llama_8B,0.000,5
P_F1_34031,dotProduct,0.000,5
P_F1_34031,gemma4,0.000,5
P_F1_34031,llama_8B,0.000,5
P_F1_14515,dotProduct,0.000,5
P_F1_14515,gemma4,0.000,5
P_F1_14515,llama_8B,0.000,5
P_F1_99613,dotProduct,0.000,5
P_F1_99613,gemma4,0.000,5
P_F1_99613,llama_8B,0.000,5
P_F1_57278,dotProduct,0.000,5
P_F1_57278,gemma4,0.000,5
P_F1_57278,llama_8B,0.000,5
P_F1_26498,dotProduct,0.000,5
P_F1_26498,gemma4,0.000,5
P_F1_26498,llama_8B,0.000,5
P_F1_17249,dotProduct,0.000,5
P_F1_17249,gemma4,0.000,5
P_F1_17249,llama_8B,0.000,5
P_F1_58852,dotProduct,0.000,5
P_F1_58852,gemma4,0.000,5
P_F1_58852,llama_8B,0.000,5
P_F1_27423,dotProduct,0.000,5
P_F1_27423,gemma4,0.000,5
P_F1_27423,llama_8B,0.000,5
P_F1_21947,dotProduct,0.000,5
P_F1_21947,gemma4,0.000,5
P_F1_21947,llama_8B,0.000,5
P_F1_25431,dotProduct,0.000,5
P_F1_25431,gemma4,0.000,5
P_F1_25431,llama_8B,0.000,5
P_F1_44647,dotProduct,0.000,5
P_F1_44647,gemma4,0.000,5
P_F1_44647,llama_8B,0.000,5
P_F1_94620,dotProduct,0.000,5
P_F1_94620,gemma4,0.000,5
P_F1_94620,llama_8B,0.000,5
P_F1_13475,dotProduct,0.000,5
P_F1_13475,gemma4,0.000,5
P_F1_13475,llama_8B,0.000,5
P_F1_17073,dotProduct,0.000,5
P_F1_17073,gemma4,0.000,5
P_F1_17073,llama_8B,0.000,5
P_F1_35615,dotProduct,0.000,5
P_F1_35615,gemma4,0.000,5
P_F1_35615,llama_8B,0.000,5
P_F1_58485,dotProduct,0.000,5
P_F1_58485,gemma4,0.000,5
P_F1_58485,llama_8B,0.000,5
P_F1_92989,dotProduct,0.000,5
P_F1_92989,gemma4,0.000,5
P_F1_92989,llama_8B,0.000,5
P_F1_54736,dotProduct,0.000,5
P_F1_54736,gemma4,0.000,5
P_F1_54736,llama_8B,0.000,5
P_F1_96428,dotProduct,0.000,5
P_F1_96428,gemma4,0.000,5
P_F1_96428,llama_8B,0.000,5
P_F1_50448,dotProduct,0.000,5
P_F1_50448,gemma4,0.000,5
P_F1_50448,llama_8B,0.000,5
P_F1_89578,dotProduct,0.000,5
P_F1_89578,gemma4,0.000,5
P_F1_89578,llama_8B,0.000,5
P_F1_11653,dotProduct,0.000,5
P_F1_11653,gemma4,0.000,5
P_F1_11653,llama_8B,0.000,5
P_F1_15314,dotProduct,0.000,5
P_F1_15314,gemma4,0.000,5
P_F1_15314,llama_8B,0.000,5
P_F1_22644,dotProduct,0.000,5
