scenario,dot_pct,llama70_pct,gemma_pct,qwen_pct,llm_mean_pct,human_pct,human_pairs
SC001_1,14.3,7.8,2.6,9.3,6.566666666666667,62.5,32
SC001_2,14.3,7.4,8.3,5.5,7.066666666666667,61.111111111111114,36
SC002_1,16.7,11.3,10.5,8.9,10.233333333333334,53.125,32
SC002_2,16.7,9.3,8.3,6.1,7.900000000000001,58.333333333333336,36
SC003_1,27.4,8.0,9.5,6.3,7.933333333333334,62.5,32
SC003_2,26.7,11.2,10.7,2.9,8.266666666666666,47.22222222222222,36
SC004_1,21.6,8.3,10.1,10.1,9.5,53.125,32
SC004_2,21.6,10.4,15.1,10.1,11.866666666666667,36.11111111111111,36
SC005_1,20.0,3.3,7.1,3.0,4.466666666666666,43.75,32
SC005_2,20.0,5.7,7.0,3.4,5.366666666666666,38.88888888888889,36
