profile_strength,n_rows,n_dp_says_no_flip,n_llm_flipped,n_impossible_flips,rate_impossible_over_all,rate_impossible_over_dp_no,model
0,80,20,11,2,0.025,0.1,Llama 3.3 70B
1,400,216,26,4,0.01,0.018518518518518517,Llama 3.3 70B
2,800,566,64,32,0.04,0.05653710247349823,Llama 3.3 70B
3,1120,836,98,58,0.05178571428571429,0.06937799043062201,Llama 3.3 70B
4,1280,1023,75,55,0.04296875,0.053763440860215055,Llama 3.3 70B
5,1440,1191,131,86,0.059722222222222225,0.07220822837951302,Llama 3.3 70B
6,1280,1120,96,82,0.0640625,0.07321428571428572,Llama 3.3 70B
7,720,633,68,54,0.075,0.08530805687203792,Llama 3.3 70B
8,320,320,34,34,0.10625,0.10625,Llama 3.3 70B
9,160,160,25,25,0.15625,0.15625,Llama 3.3 70B
0,80,20,3,1,0.0125,0.05,Qwen 2.5 32B
1,400,216,21,5,0.0125,0.023148148148148147,Qwen 2.5 32B
2,800,566,46,28,0.035,0.04946996466431095,Qwen 2.5 32B
3,1120,836,68,47,0.04196428571428571,0.056220095693779906,Qwen 2.5 32B
4,1280,1023,72,58,0.0453125,0.056695992179863146,Qwen 2.5 32B
5,1440,1191,97,65,0.04513888888888889,0.054575986565911,Qwen 2.5 32B
6,1280,1120,90,73,0.05703125,0.06517857142857143,Qwen 2.5 32B
7,720,633,62,49,0.06805555555555555,0.07740916271721959,Qwen 2.5 32B
8,320,320,33,33,0.103125,0.103125,Qwen 2.5 32B
9,160,160,8,8,0.05,0.05,Qwen 2.5 32B
0,80,20,9,3,0.0375,0.15,Gemma 4 31B
1,400,216,19,5,0.0125,0.023148148148148147,Gemma 4 31B
2,800,566,75,35,0.04375,0.061837455830388695,Gemma 4 31B
3,1120,836,84,56,0.05,0.06698564593301436,Gemma 4 31B
4,1280,1023,77,52,0.040625,0.05083088954056696,Gemma 4 31B
5,1440,1191,148,104,0.07222222222222222,0.0873215785054576,Gemma 4 31B
6,1280,1120,87,70,0.0546875,0.0625,Gemma 4 31B
7,720,633,89,72,0.1,0.11374407582938388,Gemma 4 31B
8,320,320,65,65,0.203125,0.203125,Gemma 4 31B
9,160,160,25,25,0.15625,0.15625,Gemma 4 31B
0,80,20,4,3,0.0375,0.15,Llama 3.1 8B
1,400,216,26,18,0.045,0.08333333333333333,Llama 3.1 8B
2,800,566,20,19,0.02375,0.03356890459363958,Llama 3.1 8B
3,1120,836,20,15,0.013392857142857142,0.017942583732057416,Llama 3.1 8B
4,1280,1023,28,24,0.01875,0.02346041055718475,Llama 3.1 8B
5,1440,1191,31,30,0.020833333333333332,0.02518891687657431,Llama 3.1 8B
6,1280,1120,13,13,0.01015625,0.011607142857142858,Llama 3.1 8B
7,720,633,10,10,0.013888888888888888,0.01579778830963665,Llama 3.1 8B
8,320,320,2,2,0.00625,0.00625,Llama 3.1 8B
9,160,160,0,0,0.0,0.0,Llama 3.1 8B
