axis,coef_logodds,odds_ratio,or_ci_lo,or_ci_hi,se,z,p,model
self_preservation,0.5832877139160821,1.7919200774414232,1.462766087458147,2.1951408304231346,0.10355215289663283,5.632791763376739,1.773155108103265e-08,Llama 3.3 70B
authority_signal,0.48521040809040333,1.6245167843612272,1.3273046366529877,1.988281144957154,0.10309378781620503,4.706495108661964,2.5201202938984305e-06,Llama 3.3 70B
social_visibility,-0.13522387219432425,0.8735203328828138,0.7152115378767195,1.0668700538933784,0.10201873721041528,-1.3254807488493299,0.18501175038041884,Llama 3.3 70B
diffused_responsibility,-0.11440761906065337,0.8918943286483016,0.7302755666133818,1.0892812656515192,0.10200478686109353,-1.1215906878610469,0.262036512823268,Llama 3.3 70B
in_out_group,-0.09880105942408274,0.9059229149241536,0.7417739608742469,1.1063967880692538,0.10199659754901269,-0.968670149772453,0.33270979055283734,Llama 3.3 70B
competence_uncertainty,-0.062398055727604124,0.9395088354762977,0.7692916857028601,1.1473890441589463,0.10198504770410406,-0.611835334025079,0.540646709414814,Llama 3.3 70B
resource_scarcity,-0.020801507589903543,0.9794133513932655,0.8019668516320233,1.1961223969984403,0.10198478037670132,-0.20396678321087702,0.8383794563815167,Llama 3.3 70B
time_pressure,0.015604612821939281,1.0157270005683758,0.8316832708571976,1.2404978864373182,0.10199585763011988,0.15299261346993331,0.878404100312498,Llama 3.3 70B
self_preservation,0.4168258289944822,1.517138248427907,1.2165396697472206,1.8920126668135364,0.11266295620109115,3.6997593800973347,0.00021580397915195709,Qwen 2.5 32B
competence_uncertainty,-0.36743612447361773,0.6925075596808277,0.5529891426804735,0.8672262856563838,0.11478822490757064,-3.200991432435542,0.001369556042852956,Qwen 2.5 32B
authority_signal,0.2748895906521298,1.316385325598465,1.0553209431325434,1.6420315892786528,0.11277995934137929,2.4373974973696595,0.014793407651315165,Qwen 2.5 32B
diffused_responsibility,-0.2142402435948863,0.8071544480413295,0.6455018262087695,1.0092896356612235,0.11402607278965197,-1.8788706683786527,0.06026215476338374,Qwen 2.5 32B
in_out_group,-0.17485341685644418,0.8395800800371785,0.6716537155954999,1.0494912697241066,0.11385870370628245,-1.5357053186509815,0.12461067003882631,Qwen 2.5 32B
social_visibility,-0.12249004846867435,0.8847147091658183,0.7080382215281826,1.1054772084549156,0.11365879925588088,-1.0776996525619773,0.2811678135859923,Qwen 2.5 32B
time_pressure,-0.11616092988511173,0.8903319307524281,0.7125732643644228,1.1124343089470026,0.11363046301827742,-1.0222692647694949,0.3066534758865742,Qwen 2.5 32B
resource_scarcity,-0.11568062053666599,0.8907596682169165,0.7128997823580889,1.1129934475465455,0.11364178493572878,-1.0179408973740627,0.3087060443477875,Qwen 2.5 32B
authority_signal,0.5652090516003565,1.7598156365454123,1.4444720397105923,2.144002091760963,0.10074938560100116,5.610049612002199,2.022686206255993e-08,Gemma 4 31B
self_preservation,0.49496165687009813,1.6404353384258712,1.3471052070748932,1.9976376643957203,0.10051391725213653,4.924309691646976,8.465867231442893e-07,Gemma 4 31B
diffused_responsibility,-0.2093800709553867,0.811086906478196,0.666328454008705,0.9872938276950357,0.10030413131069438,-2.0874521140792,0.03684728536010828,Gemma 4 31B
in_out_group,-0.13693801820304355,0.8720242740885951,0.7166788793625583,1.06104192058247,0.10009846560814165,-1.3680331398796737,0.17130170305482428,Gemma 4 31B
social_visibility,-0.08596810863756447,0.9176234950169763,0.7542720337378402,1.116351715221929,0.10001922560839595,-0.8595158392262939,0.390055985151469,Gemma 4 31B
time_pressure,-0.03176682449727486,0.9687324404196592,0.7964309191285435,1.178310031142782,0.09992431543452177,-0.31790885290668786,0.7505540770694195,Gemma 4 31B
competence_uncertainty,-0.02178348833265865,0.9784520584058477,0.8044399870790865,1.1901054720997097,0.09991276630066687,-0.21802507466469034,0.827409574586476,Gemma 4 31B
resource_scarcity,0.0031563467308987885,1.0031613332382434,0.8247954182948121,1.2200997219223517,0.09988767625255758,0.031598960445513136,0.9747918724215202,Gemma 4 31B
self_preservation,0.7233889064318157,2.061407303164069,1.1564180904844537,3.6746226165987914,0.29493477235238674,2.4527081044466126,0.014178533994209184,Llama 3.1 8B
authority_signal,0.7233889064318157,2.061407303164069,1.1564180904844534,3.674622616598792,0.2949347723523868,2.452708104446612,0.0141785339942092,Llama 3.1 8B
time_pressure,0.44871281272497365,1.5662947726743357,0.868523237550091,2.8246559318632616,0.30085948266218293,1.491436496381955,0.13584693214628624,Llama 3.1 8B
in_out_group,-0.4277722009654414,0.651959913723051,0.3425046902252414,1.2410099517826787,0.32842324216020724,-1.3025028257798241,0.19274455261147583,Llama 3.1 8B
social_visibility,-0.20433426214451583,0.8151898385375391,0.4354376914453973,1.5261298824385072,0.31993919752171485,-0.6386659206727782,0.5230402871894309,Llama 3.1 8B
diffused_responsibility,-0.15162481912317005,0.8593106171809316,0.4606618032155468,1.602943269108779,0.3181008970533298,-0.4766563707544342,0.6336068354435325,Llama 3.1 8B
competence_uncertainty,-0.10003731271450222,0.9048036567255765,0.48670981434828053,1.6820487959960262,0.31635779505874295,-0.3162157350854174,0.7518387651945375,Llama 3.1 8B
resource_scarcity,0.0485520514650754,1.0497500114243346,0.5699340982192,1.9335131727134607,0.3116315392935281,0.15579954318854697,0.8761910307114675,Llama 3.1 8B
